dataset,n_episodes,n_frames,total_episodes_meta,total_frames_meta,fps,original_fps,downsample_stride,robot_type,codebase_version,n_video_keys,camera_key,height,width,codec,pix_fmt,len_min,len_p25,len_median,len_p75,len_max,len_mean,n_short_lt16,n_windows_lt16,n_tasks,task_sample,action_dim,action_names,state_dim,action_rows,action_nan,a_main_shoulder_pan_mean,a_main_shoulder_pan_std,a_main_shoulder_pan_min,a_main_shoulder_pan_max,a_main_shoulder_lift_mean,a_main_shoulder_lift_std,a_main_shoulder_lift_min,a_main_shoulder_lift_max,a_main_elbow_flex_mean,a_main_elbow_flex_std,a_main_elbow_flex_min,a_main_elbow_flex_max,a_main_wrist_flex_mean,a_main_wrist_flex_std,a_main_wrist_flex_min,a_main_wrist_flex_max,a_main_wrist_roll_mean,a_main_wrist_roll_std,a_main_wrist_roll_min,a_main_wrist_roll_max,a_main_gripper_mean,a_main_gripper_std,a_main_gripper_min,a_main_gripper_max,a_left_shoulder_pan_mean,a_left_shoulder_pan_std,a_left_shoulder_pan_min,a_left_shoulder_pan_max,a_left_shoulder_lift_mean,a_left_shoulder_lift_std,a_left_shoulder_lift_min,a_left_shoulder_lift_max,a_left_elbow_flex_mean,a_left_elbow_flex_std,a_left_elbow_flex_min,a_left_elbow_flex_max,a_left_wrist_flex_mean,a_left_wrist_flex_std,a_left_wrist_flex_min,a_left_wrist_flex_max,a_left_wrist_roll_mean,a_left_wrist_roll_std,a_left_wrist_roll_min,a_left_wrist_roll_max,a_left_gripper_mean,a_left_gripper_std,a_left_gripper_min,a_left_gripper_max
dragon-95/so100_sorting_2,220,34076,220,34076,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,69.75,125.5,223.5,358,154.89,1,1,1,Put the object in box A into box B,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,34076,0,37.607,35.829,-26.02,102.57,112.842,53.725,23.73,188.96,99.308,55.294,-5.8,178.33,56.355,19.905,-11.25,96.68,-41.412,42.401,-158.12,62.58,8.976,15.326,0.0,93.92,,,,,,,,,,,,,,,,,,,,,,,,
dragon-95/so100_sorting_3,200,19111,200,19111,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,44,56.0,89.0,115.25,265,95.56,0,0,1,Put the object in box A into box B,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,19111,0,43.792,33.117,-10.72,113.03,104.827,43.517,27.51,189.05,89.939,44.872,-2.46,178.33,53.586,18.957,-3.34,94.39,-41.351,37.166,-157.41,57.48,8.83,14.842,0.0,77.65,,,,,,,,,,,,,,,,,,,,,,,,
frk2/so100large,50,3000,50,3000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,60,60.0,60.0,60.0,60,60.0,0,0,1,Pick up roll of tape and put it in the bin,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3000,0,-0.381,27.755,-72.86,68.29,98.326,25.022,22.15,147.04,103.617,36.282,-15.73,155.48,71.616,18.083,39.73,102.92,0.446,9.029,-27.51,38.14,5.772,9.206,-0.09,42.06,,,,,,,,,,,,,,,,,,,,,,,,
frk2/so100largediffcam,50,4500,50,4500,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,Pick up roll of tape and put it in the bin,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4500,0,6.505,26.398,-61.35,74.36,109.514,42.127,15.82,193.54,109.378,45.088,-14.68,177.8,71.924,13.251,42.71,110.92,-8.92,6.116,-41.22,10.9,8.949,8.155,0.0,29.12,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_color_0328,50,3502,50,3502,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,18,55.25,64.0,85.0,118,70.04,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3502,0,9.214,15.403,-27.33,59.33,96.64,48.521,24.43,194.33,86.059,43.425,10.72,178.24,76.164,19.194,22.06,100.81,-13.423,29.923,-102.39,48.16,16.862,12.505,-1.35,56.85,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_dataline_0328,50,5003,50,5003,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,52,86.75,97.0,107.0,180,100.06,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5003,0,6.751,15.931,-43.33,51.59,113.067,45.877,32.34,192.3,112.317,44.845,24.26,178.15,58.39,15.5,5.71,99.76,-12.921,23.916,-95.62,37.79,9.026,11.467,-2.78,40.03,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_dataline_20250331,50,6111,50,6111,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,80,107.25,121.5,129.75,180,122.22,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6111,0,9.043,12.277,-32.08,43.33,118.707,43.742,40.61,191.25,113.533,39.821,27.33,178.07,59.501,12.229,22.06,99.49,-5.888,17.29,-73.39,34.54,12.904,10.287,-1.18,42.64,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_push_20250328,50,3234,50,3234,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,21,49.25,60.0,70.0,154,64.68,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3234,0,7.866,11.517,-25.66,49.75,95.443,53.242,29.79,191.07,92.091,46.546,19.07,177.8,62.13,14.621,23.2,99.93,-8.816,7.815,-27.95,21.45,1.125,2.529,-0.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_push_20250331,60,7356,60,7356,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,72,107.75,124.0,135.25,180,122.6,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7356,0,4.744,13.341,-48.96,54.14,114.492,46.368,43.51,191.16,114.456,37.622,37.71,177.89,55.126,9.035,18.9,95.36,1.908,1.607,-6.77,8.35,-0.431,0.028,-0.5,-0.42,,,,,,,,,,,,,,,,,,,,,,,,
ganker5/so100_toy_20250402,100,10770,100,10770,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,66,101.75,108.0,115.0,132,107.7,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,10770,0,3.158,16.204,-30.15,43.86,119.828,39.774,48.96,191.25,108.645,37.5,46.93,177.19,64.488,11.147,34.45,99.49,-3.56,16.34,-102.57,26.37,13.312,17.786,-1.43,72.33,,,,,,,,,,,,,,,,,,,,,,,,
isadev/bougies3,200,12940,200,12940,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,50.0,61.0,72.0,179,64.7,2,2,1,grab the candle wick by the aluminium plate and place it in the tray.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,12940,0,4.064,13.783,-47.81,39.29,112.495,50.223,7.03,190.9,111.748,47.591,-16.79,176.66,49.111,21.712,-43.68,99.14,-12.684,30.796,-111.09,84.9,5.819,7.578,0.0,41.35,,,,,,,,,,,,,,,,,,,,,,,,
jlesein/TestBoulon7,400,21294,400,21294,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,1,40.75,48.5,64.0,176,53.23,3,3,1,test,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,21294,0,9.892,15.933,-61.26,84.29,118.23,62.22,-8.53,193.8,98.335,60.371,-15.03,177.98,76.62,18.949,-27.16,104.94,-22.992,25.399,-131.84,78.93,6.822,9.138,-0.3,44.38,,,,,,,,,,,,,,,,,,,,,,,,
jpata/so100_pick_place_tangerine,100,4820,100,4820,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,35,43.0,46.5,53.0,76,48.2,0,0,1,pick and place tangerine,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4820,0,1.883,11.073,-31.03,29.79,123.166,47.205,29.44,190.99,112.234,45.882,-10.02,175.17,69.2,12.574,-0.62,103.18,-28.251,13.683,-74.27,5.19,40.258,36.629,-1.12,109.84,,,,,,,,,,,,,,,,,,,,,,,,
koenvanwijk/orange50-1,50,1606,50,1606,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,23,29.0,31.0,34.75,55,32.12,0,0,1,Orange in box,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1606,0,6.608,20.958,-23.73,45.97,150.317,32.552,91.14,198.19,152.905,19.338,111.45,178.68,56.964,12.059,23.47,77.17,-46.171,8.6,-76.55,-28.74,21.569,15.205,-0.68,48.16,,,,,,,,,,,,,,,,,,,,,,,,
koenvanwijk/orange50-variation-2,50,1438,50,1438,6,30,5,so100,v2.0,1,observation.images.image,480,640,av1,yuv420p,19,25.0,28.0,31.0,46,28.76,0,0,1,Orange in box,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1438,0,1.314,22.091,-35.33,50.8,142.252,30.799,87.45,198.54,145.816,20.078,104.59,178.68,61.319,11.045,32.17,95.89,-58.205,9.743,-88.51,-33.93,21.652,14.534,-0.87,50.48,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/close_top_drawer_teabox,30,1113,30,1113,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,31,34.0,36.0,40.0,47,37.1,0,0,1,Close the top drawer of the teabox,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1113,0,-13.125,14.19,-47.99,7.56,158.422,33.945,68.64,189.67,154.284,32.439,44.47,183.25,32.993,19.433,-48.96,57.48,2.092,10.999,-15.38,48.78,0.01,0.129,0.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/fold_bottom_right,30,2254,30,2254,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,56,65.25,70.0,80.75,124,75.13,0,0,1,Fold the bag from the bottom right corner,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2254,0,5.649,34.976,-94.75,93.6,127.482,46.738,30.5,193.54,118.104,46.751,4.48,187.65,68.207,17.381,8.96,102.48,-2.1,14.589,-83.14,45.62,14.768,23.597,-0.19,76.09,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/guess_who_so100,96,4661,96,4661,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,33,44.0,47.5,53.0,69,48.55,0,0,1,,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4661,0,0.095,10.691,-28.48,36.3,136.071,44.323,48.25,187.65,116.918,23.975,29.0,169.37,41.465,29.003,-35.33,99.58,-93.701,5.2,-113.73,-59.68,0.557,0.894,-0.07,3.79,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/lemon_into_bowl,40,3087,40,3087,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,62,70.75,76.0,80.25,101,77.17,0,0,1,Pick the yellow lemon and drop it in the red bowl,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3087,0,-4.267,18.919,-42.63,60.12,114.936,50.936,27.16,189.67,103.254,51.292,-9.76,181.05,71.048,13.258,27.77,101.16,-4.854,21.101,-101.43,54.76,15.791,22.489,0.0,66.04,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/open_top_drawer_teabox,30,1931,30,1931,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,48,56.0,59.0,70.5,93,64.37,0,0,1,Open the top drawer of the teabox,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1931,0,-16.644,14.241,-39.2,5.62,127.045,46.343,61.08,189.58,97.632,62.958,3.87,183.25,70.113,16.501,31.99,101.07,18.766,17.987,-10.72,51.24,7.211,13.184,0.0,52.48,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/push_cup_target,30,1718,30,1718,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,48,51.0,54.0,63.5,86,57.27,0,0,1,Push the red cup to the pink target,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1718,0,-3.175,20.861,-70.4,73.3,136.272,43.591,43.77,189.67,131.158,42.355,20.48,183.25,55.862,15.021,14.41,99.49,-1.79,11.939,-53.88,35.16,0.002,0.013,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/put_banana_bowl,30,1955,30,1955,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,54,60.25,64.5,69.5,83,65.17,0,0,1,Put the banana into the red bowl,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1955,0,-12.929,25.632,-72.42,65.92,121.697,45.678,35.33,189.58,117.029,44.305,20.83,183.34,51.287,24.306,-35.07,101.07,-8.801,22.86,-91.32,49.48,11.937,17.495,-0.09,59.03,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/put_caps_into_teabox,30,2165,30,2165,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,57,61.25,66.5,71.75,134,72.17,0,0,1,Pick the coffee caps and put it into the top drawer of the teabox,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2165,0,3.173,20.74,-39.64,84.64,125.806,46.365,31.29,189.58,112.493,50.964,5.54,183.25,66.824,16.557,27.6,101.16,-8.881,14.527,-79.1,18.9,11.353,16.532,0.0,56.31,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/put_coffee_cap_teabox,40,2979,40,2979,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,55,67.5,74.0,81.0,98,74.47,0,0,1,Put the coffee cap into the top drawer of the teabox,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2979,0,2.195,22.694,-41.4,53.96,124.404,46.166,39.2,193.45,107.353,49.703,19.51,187.65,72.425,13.909,38.94,102.3,-10.568,15.073,-61.52,20.13,13.472,20.081,0.0,60.8,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/red_cube_into_blue_cube,45,2747,45,2747,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,55.0,62.0,67.0,91,61.04,1,1,1,Puttingg red block on blue one,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2747,0,1.608,16.618,-33.05,31.64,126.521,41.058,53.09,189.49,121.339,36.404,39.29,178.42,60.283,18.575,17.49,99.49,-1.487,15.885,-61.17,32.52,15.663,15.084,-0.09,54.84,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/red_cube_into_green_lego_block,30,2303,30,2303,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,36,70.5,75.5,85.75,118,76.77,0,0,1,First serious test,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2303,0,1.63,21.125,-43.33,56.25,117.81,40.801,31.03,189.49,113.748,36.834,8.53,178.42,64.441,12.027,14.68,99.49,2.051,15.88,-67.94,50.54,17.215,18.001,-0.09,95.21,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/so100_demo,30,3362,30,3362,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,1,98.5,115.0,131.75,171,112.07,2,2,1,Put the banana into the red bowl'.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3362,0,0.922,15.824,-45.53,52.21,124.84,49.385,29.44,190.55,106.997,50.134,6.15,178.95,62.105,19.466,-45.79,105.12,-16.934,23.72,-124.72,41.84,8.305,13.176,-0.75,61.64,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/sweep_tissue_cube,30,3225,30,3225,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,60,89.25,99.0,121.75,179,107.5,0,0,1,Sweep the red cubes to the right with the tissue bag,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3225,0,1.745,24.149,-57.92,85.08,99.493,44.624,27.95,189.58,107.63,38.163,17.75,183.25,53.515,13.378,-9.23,101.07,-5.583,20.988,-127.0,41.13,0.001,0.086,-0.09,3.37,,,,,,,,,,,,,,,,,,,,,,,,
lirislab/unfold_bottom_right,30,1888,30,1888,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,53,57.25,61.0,65.0,85,62.93,0,0,1,Unfold the bag from bottom right corner,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1888,0,6.961,29.49,-71.46,77.17,137.037,37.498,44.56,189.58,133.659,36.043,21.36,183.25,50.721,19.107,-30.23,101.25,-11.957,20.27,-76.64,29.0,11.691,17.951,-0.19,58.93,,,,,,,,,,,,,,,,,,,,,,,,
liuhuanjim013/so100_th,74,7477,74,7477,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,81.0,92.0,109.75,178,101.04,1,1,1,Grasp a lego figure and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7477,0,-9.98,33.197,-84.46,82.44,122.179,61.982,-5.98,195.47,108.973,60.157,-14.15,180.0,77.052,18.777,-102.66,105.29,45.304,43.368,-23.12,189.58,11.249,11.596,-0.52,37.17,,,,,,,,,,,,,,,,,,,,,,,,
mikechambers/block_cup_14,50,4500,50,4500,6,30,5,so100,v2.1,1,observation.images.image,720,1280,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,Grasp a block and put it in a cup.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4500,0,-1.411,13.569,-41.4,38.85,150.131,49.445,27.16,192.39,166.903,23.988,69.87,183.87,18.419,55.632,-81.91,72.6,38.599,45.174,-24.35,117.25,1.746,9.608,-3.76,42.34,,,,,,,,,,,,,,,,,,,,,,,,
nbaron99/so100_pick_and_place4,100,5973,100,5973,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,59,59.0,60.0,60.0,60,59.73,0,0,1,pick,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5973,0,0.795,15.944,-84.64,51.15,139.334,49.675,22.85,189.4,137.725,36.309,4.57,177.8,63.93,9.622,20.04,100.46,-9.437,15.754,-85.25,67.59,6.705,11.77,-0.09,51.22,,,,,,,,,,,,,,,,,,,,,,,,
pandaRQ/pick_med_1,100,8946,100,8946,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,66,81.75,90.0,95.25,122,89.46,0,0,1,pickMED,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,8946,0,-3.232,22.322,-52.65,84.46,121.319,51.69,26.28,210.67,109.157,47.678,-9.49,181.14,62.281,13.745,-1.05,108.98,-1.707,8.184,-51.42,40.52,7.524,10.45,0.0,48.24,,,,,,,,,,,,,,,,,,,,,,,,
paszea/so100_lego,50,7573,50,7573,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,126,141.0,151.0,158.0,198,151.46,0,0,1,Grasp a lego and put it in the basket.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7573,0,-6.827,28.584,-74.27,52.29,127.934,56.247,25.05,192.83,136.991,40.778,37.62,177.8,19.263,54.386,-104.15,101.34,-42.458,42.672,-115.4,9.4,27.733,36.984,-0.33,119.41,,,,,,,,,,,,,,,,,,,,,,,,
paszea/so100_lego_2cam,40,17640,40,17640,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,287,412.5,436.5,474.75,540,441.0,0,0,1,Grap lego blocks and put them in the plate.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,17640,0,-14.184,27.525,-90.09,33.57,78.297,36.723,-9.4,149.68,74.456,28.796,-0.09,147.66,41.016,13.815,13.1,82.79,-86.068,13.56,-126.12,-11.51,16.251,12.995,-1.04,46.75,,,,,,,,,,,,,,,,,,,,,,,,
paszea/so100_whale_2,50,5650,50,5650,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,86,103.25,111.0,124.25,146,113.0,0,0,1,Grasp a whale and put it in the plate.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5650,0,-7.756,26.7,-77.17,38.58,134.951,47.893,45.79,189.58,127.253,41.841,42.89,177.63,57.956,12.665,3.6,91.67,-3.372,7.009,-31.46,19.69,27.042,27.185,-0.22,103.29,,,,,,,,,,,,,,,,,,,,,,,,
paszea/so100_whale_3,35,4038,35,4038,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,97,108.0,113.0,119.5,177,115.37,0,0,1,Grasp a whale and put it in the plate.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4038,0,-6.75,20.924,-68.03,20.92,122.233,56.178,26.89,189.49,112.256,51.598,16.88,177.45,61.185,12.727,8.61,92.02,2.116,9.288,-14.94,27.25,14.92,21.071,-0.11,97.48,,,,,,,,,,,,,,,,,,,,,,,,
paszea/so100_whale_4,60,6916,60,6916,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,99,108.5,115.0,120.0,153,115.27,0,0,1,Grasp a whale and put it in the plate.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6916,0,-14.831,30.344,-83.41,27.33,124.678,52.007,29.71,189.49,110.794,48.751,10.63,177.71,63.966,13.084,6.15,100.63,-36.05,38.553,-119.18,16.44,20.292,22.312,-0.11,89.69,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/chicken,65,7018,65,7018,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,108.0,108.0,108.0,108,107.97,0,0,1,Pick the chicken and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7018,0,-8.74,71.546,-122.61,116.37,146.638,30.677,78.57,193.01,103.67,21.609,35.33,158.82,104.518,16.14,57.83,121.99,19.742,57.328,-130.08,243.81,21.994,17.699,-4.01,92.95,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/cow2,40,4320,40,4320,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,108,108.0,108.0,108.0,108,108.0,0,0,1,Pick the cow and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4320,0,0.591,36.6,-66.8,66.18,119.551,68.304,22.06,191.51,49.852,44.611,-14.5,110.57,100.821,15.398,33.31,121.64,14.716,21.572,-55.72,68.64,25.894,17.604,-4.79,74.17,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/horse,42,4535,42,4535,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,108.0,108.0,108.0,108,107.98,0,0,1,Pick the horse and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4535,0,1.207,24.298,-42.71,49.75,138.25,49.761,41.75,191.69,81.412,17.302,5.19,132.54,99.701,19.096,31.64,121.55,6.242,37.753,-128.32,129.55,27.667,17.456,-4.89,79.26,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/pig2,50,5380,50,5380,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,107.0,108.0,108.0,108,107.6,0,0,1,Pick the pig and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5380,0,2.123,48.361,-81.12,83.5,125.297,59.233,17.93,191.87,67.742,30.142,-13.89,150.21,101.55,19.116,29.88,121.29,6.663,16.957,-54.67,45.97,22.671,16.372,-3.91,85.42,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/pig3,50,5399,50,5399,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,108.0,108.0,108.0,108,107.98,0,0,1,Pick the pig and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5399,0,-2.723,42.192,-115.84,95.45,128.945,51.149,21.8,191.43,79.396,27.35,-14.68,177.1,94.727,23.397,13.1,120.67,8.573,28.34,-83.58,133.24,21.007,16.296,-4.11,79.65,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/rabbit,31,3337,31,3337,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,107.0,108.0,108.0,108,107.65,0,0,2,Pick the rabbit and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3337,0,-7.611,67.78,-107.05,113.03,121.814,53.146,40.25,191.87,72.049,18.853,10.63,126.83,100.416,18.541,39.55,121.73,11.703,47.0,-124.01,157.15,25.047,17.684,-3.03,77.79,,,,,,,,,,,,,,,,,,,,,,,,
pierfabre/sheep,60,6479,60,6479,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,107,108.0,108.0,108.0,108,107.98,0,0,1,Pick the sheep and place it to the right.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6479,0,1.11,35.949,-67.85,73.21,150.641,36.002,83.5,191.69,99.75,16.518,37.09,140.36,99.465,18.24,47.64,122.26,-0.299,56.492,-181.05,148.18,24.174,15.851,-4.89,68.88,,,,,,,,,,,,,,,,,,,,,,,,
pietroom/actualeasytask,60,3600,60,3600,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,60,60.0,60.0,60.0,60,60.0,0,0,1,easy transfer,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3600,0,-7.558,17.638,-66.27,32.17,128.172,35.899,47.64,190.9,118.165,38.033,7.47,181.76,48.969,17.287,-26.19,99.49,-1.303,41.87,-111.88,117.25,2.774,14.204,-5.07,51.69,,,,,,,,,,,,,,,,,,,,,,,,
